time,windspeed
2012-08-14,0.0
2012-08-17,0.0
2012-08-19,0.0
2012-08-25,1.6
2012-08-26,0.3
2012-08-27,0.0
2012-08-28,5.0
2012-08-30,17.7
2012-08-31,69.6
2012-09-09,1.7
2012-09-13,2.9
2012-09-14,1.1
2012-09-15,17.7
2012-09-16,13.6
2012-09-17,4.4
2012-09-19,2.4
2012-09-27,45.0
2012-09-29,11.8
2012-09-30,10.7
2012-10-06,3.0
2012-10-07,0.0
2012-10-08,29.8
2012-10-09,4.0
2012-10-17,0.2
2012-10-18,1.2
2012-10-21,25.9
2012-10-22,9.4
2012-10-23,10.2
2012-10-24,1.8
2012-10-25,4.6
2012-10-27,7.7
2012-10-28,1.0
2012-10-29,1.8
2012-10-30,1.2
2012-10-31,0.9
2012-11-01,0.7
2012-11-02,40.0
2012-11-03,18.8
2012-11-04,9.9
2012-11-05,13.2
2012-11-06,9.9
2012-11-07,14.5
2012-11-08,0.0
2012-11-09,0.7
2012-11-10,35.3
2012-11-11,0.2
2012-11-12,12.8
2012-11-15,0.3
2012-11-16,0.1
2012-11-17,8.0
2012-11-18,16.3
2012-11-19,18.9
2012-11-20,17.8
2012-11-21,0.5
2012-11-22,0.8
2012-11-23,3.4
2012-11-24,0.0
2012-11-25,13.7
2012-11-26,2.0
2012-11-28,0.0
2012-11-29,1.1
2012-11-30,12.0
2012-12-01,6.0
2012-12-02,7.7
2012-12-03,0.0
2012-12-04,5.0
2012-12-06,23.5
2012-12-07,12.1
2012-12-08,0.0
2012-12-09,0.0
2012-12-12,0.0
2012-12-13,1.3
2012-12-15,10.5
2012-12-16,1.4
2012-12-17,0.3
2012-12-18,0.0
2012-12-19,0.0
2012-12-21,13.6
2012-12-22,4.9
2012-12-23,1.0
2012-12-24,35.2
2012-12-25,9.3
2012-12-26,7.5
2012-12-28,33.9
2012-12-29,3.9
2012-12-30,21.2
2012-12-31,3.1
2013-01-01,2.9
2013-01-02,16.5
2013-01-03,0.0
2013-01-04,0.0
2013-01-06,0.4
2013-01-07,4.4
2013-01-08,29.4
2013-01-09,29.8
2013-01-10,24.2
2013-01-11,0.6
2013-01-13,17.6
2013-01-14,0.4
2013-01-15,0.0
2013-01-16,1.7
2013-01-17,4.2
2013-01-18,17.4
2013-01-19,0.8
2013-01-20,0.1
2013-01-21,8.4
2013-01-22,4.4
2013-01-23,7.4
2013-01-24,0.8
2013-01-25,5.0
2013-01-27,21.6
2013-01-28,58.6
2013-01-29,0.3
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,18.7
2013-02-02,7.4
2013-02-04,1.7
2013-02-06,0.0
2013-02-07,4.6
2013-02-08,7.8
2013-02-09,0.9
2013-02-10,0.0
2013-02-11,16.5
2013-02-12,4.0
2013-02-13,3.0
2013-02-14,0.3
2013-02-15,10.8
2013-02-16,0.1
2013-02-17,85.9
2013-02-18,27.0
2013-02-19,1.6
2013-02-20,1.6
2013-02-21,0.0
2013-02-22,29.8
2013-02-23,0.5
2013-02-24,0.5
2013-02-27,0.5
2013-03-04,0.4
2013-03-05,1.2
2013-03-06,3.9
2013-03-07,10.3
2013-03-08,4.5
2013-03-09,2.0
2013-03-10,0.4
2013-03-12,1.0
2013-03-18,18.6
2013-03-19,29.8
2013-03-20,2.3
2013-03-21,0.0
2013-03-23,20.0
2013-03-24,4.0
2013-03-25,12.0
2013-03-26,15.0
2013-03-27,0.2
2013-03-28,0.0
2013-03-29,26.0
2013-03-30,0.0
2013-03-31,0.0
2013-04-02,2.0
2013-04-03,0.2
2013-04-04,23.5
2013-04-05,0.3
2013-04-06,0.6
2013-04-07,16.2
2013-04-08,41.5
2013-04-09,10.9
2013-04-10,7.3
2013-04-11,0.0
2013-04-12,11.6
2013-04-13,8.4
2013-04-14,3.0
