time,windspeed
2013-05-01,1.0
2013-05-03,0.0
2013-05-04,17.4
2013-05-05,0.3
2013-05-07,23.0
2013-05-08,7.6
2013-05-09,3.0
2013-05-10,5.2
2013-05-11,0.0
2013-05-12,30.8
2013-05-13,6.5
2013-05-16,2.0
2013-05-17,21.5
2013-05-18,5.8
2013-05-19,19.6
2013-05-21,1.5
2013-05-23,1.5
2013-05-24,2.0
2013-05-25,6.5
2013-05-29,29.2
2013-05-30,0.0
2013-05-31,0.0
2013-06-01,0.0
2013-06-02,0.0
2013-06-03,3.1
2013-06-06,0.0
2013-06-08,4.0
2013-06-09,12.5
2013-06-10,0.5
2013-06-11,0.4
2013-06-12,0.5
2013-06-14,29.5
2013-06-17,3.5
2013-06-19,0.0
2013-06-25,1.5
2013-06-26,4.8
2013-06-28,8.4
2013-06-30,2.5
2013-07-01,15.5
2013-07-02,1.0
2013-07-03,2.0
2013-07-04,10.5
2013-07-05,14.6
2013-07-07,5.0
2013-07-08,15.4
2013-07-09,0.0
2013-07-10,13.5
2013-07-11,0.9
2013-07-12,1.0
2013-07-14,8.6
2013-07-15,35.2
2013-07-16,60.0
2013-07-17,3.3
2013-07-19,38.0
2013-07-20,43.0
2013-07-21,10.0
2013-07-22,1.0
2013-07-23,6.0
2013-07-24,3.0
2013-07-27,1.0
2013-07-28,15.0
2013-07-29,3.0
2013-07-31,0.0
2013-08-03,1.0
2013-08-04,9.0
2013-08-05,0.0
2013-08-06,0.0
2013-08-07,3.0
2013-08-08,4.0
2013-08-14,12.0
2013-08-18,3.0
2013-08-21,17.3
2013-08-23,0.0
2013-08-24,0.0
2013-08-25,0.0
2013-08-28,0.0
2013-08-29,0.0
2013-09-03,1.0
2013-09-07,40.0
2013-09-09,4.5
2013-09-11,2.0
2013-09-14,0.0
2013-09-17,16.5
2013-09-18,9.0
2013-09-29,52.5
2013-10-02,164.0
2013-10-03,0.0
2013-10-04,14.2
2013-10-06,2.5
2013-10-07,3.0
2013-10-08,13.3
2013-10-09,0.0
2013-10-10,2.0
2013-10-11,0.0
2013-10-16,0.0
2013-10-17,0.0
2013-10-18,0.0
2013-10-19,0.0
2013-10-24,12.6
2013-10-25,0.5
2013-10-30,53.0
2013-10-31,33.6
2013-11-01,61.6
2013-11-02,3.2
2013-11-06,3.4
2013-11-07,0.4
2013-11-09,21.1
2013-11-10,1.8
2013-11-11,31.6
2013-11-12,7.0
2013-11-13,5.6
2013-11-14,36.4
2013-11-15,1.0
2013-11-16,1.5
2013-11-17,19.0
2013-11-19,19.8
2013-11-20,9.2
2013-11-21,0.5
2013-11-22,3.3
2013-11-23,24.4
2013-11-24,15.1
2013-11-25,11.8
2013-11-30,0.5
2013-12-01,11.3
2013-12-02,0.6
2013-12-03,36.2
2013-12-04,2.5
2013-12-05,0.0
2013-12-07,21.5
2013-12-08,9.5
2013-12-09,4.0
2013-12-15,2.0
2013-12-16,54.3
2013-12-17,21.7
2013-12-18,1.5
2013-12-19,9.3
2013-12-20,10.4
2013-12-21,27.1
2013-12-22,16.0
2013-12-23,22.4
2013-12-24,0.7
2013-12-26,0.8
2013-12-27,25.5
2013-12-28,3.3
